10000 29917
Sommets du graphe
5945 0.568443 0.814256 sommet5945
5946 0.195986 0.943487 sommet5946
5947 0.188391 0.285856 sommet5947
5948 0.387674 0.642362 sommet5948
5949 0.182842 0.024140 sommet5949
5950 0.723623 0.939250 sommet5950
5951 0.976547 0.818440 sommet5951
5952 0.518419 0.062046 sommet5952
5953 0.802016 0.489231 sommet5953
5954 0.501339 0.998460 sommet5954
5955 0.113806 0.741911 sommet5955
5956 0.304915 0.711005 sommet5956
5957 0.863458 0.134709 sommet5957
5958 0.062149 0.538210 sommet5958
5959 0.700615 0.230409 sommet5959
5960 0.485076 0.664987 sommet5960
5961 0.428847 0.635532 sommet5961
5962 0.380930 0.298832 sommet5962
5963 0.472052 0.779517 sommet5963
5964 0.346773 0.222031 sommet5964
5965 0.672836 0.360732 sommet5965
5966 0.826176 0.537062 sommet5966
5967 0.393463 0.925478 sommet5967
5968 0.513961 0.143140 sommet5968
5969 0.751255 0.336248 sommet5969
5970 0.323585 0.489660 sommet5970
5971 0.713823 0.225577 sommet5971
5972 0.265739 0.274787 sommet5972
5973 0.345759 0.176676 sommet5973
5974 0.394066 0.060916 sommet5974
5975 0.816505 0.992779 sommet5975
5976 0.642150 0.621085 sommet5976
5977 0.571370 0.008308 sommet5977
5978 0.640162 0.205102 sommet5978
5979 0.149619 0.654713 sommet5979
5980 0.765993 0.045609 sommet5980
5981 0.556367 0.856379 sommet5981
5982 0.165781 0.277687 sommet5982
5983 0.078127 0.075191 sommet5983
5984 0.742119 0.792212 sommet5984
5985 0.713259 0.749737 sommet5985
5986 0.836442 0.086097 sommet5986
5987 0.029332 0.981841 sommet5987
5988 0.807545 0.415477 sommet5988
5989 0.929639 0.435041 sommet5989
5990 0.740847 0.412747 sommet5990
5991 0.043557 0.067780 sommet5991
5992 0.180764 0.102779 sommet5992
5993 0.402937 0.168747 sommet5993
5994 0.125452 0.479133 sommet5994
5995 0.782553 0.372917 sommet5995
5996 0.610109 0.095535 sommet5996
5997 0.648643 0.743173 sommet5997
5998 0.509226 0.565009 sommet5998
5999 0.098304 0.200435 sommet5999
6000 0.714694 0.858015 sommet6000
6001 0.655198 0.920139 sommet6001
6002 0.767858 0.385061 sommet6002
6003 0.714478 0.227863 sommet6003
6004 0.693697 0.969913 sommet6004
6005 0.325267 0.760728 sommet6005
6006 0.561328 0.241257 sommet6006
6007 0.798884 0.842215 sommet6007
6008 0.111185 0.691114 sommet6008
6009 0.548974 0.598977 sommet6009
6010 0.009425 0.411263 sommet6010
6011 0.092309 0.445401 sommet6011
6012 0.853074 0.617194 sommet6012
6013 0.173344 0.386814 sommet6013
6014 0.184499 0.875285 sommet6014
6015 0.911106 0.951368 sommet6015
6016 0.636863 0.759745 sommet6016
6017 0.028702 0.397600 sommet6017
6018 0.470541 0.378637 sommet6018
6019 0.746928 0.612975 sommet6019
6020 0.278522 0.120582 sommet6020
6021 0.620030 0.835862 sommet6021
6022 0.332766 0.796219 sommet6022
6023 0.050847 0.592041 sommet6023
6024 0.425473 0.926208 sommet6024
6025 0.775690 0.026579 sommet6025
6026 0.721644 0.670935 sommet6026
6027 0.409783 0.226064 sommet6027
6028 0.454939 0.154789 sommet6028
6029 0.530691 0.328715 sommet6029
6030 0.720604 0.195122 sommet6030
6031 0.421127 0.877922 sommet6031
6032 0.229362 0.879681 sommet6032
6033 0.805172 0.523385 sommet6033
6034 0.539720 0.078674 sommet6034
6035 0.266065 0.749011 sommet6035
6036 0.635516 0.119733 sommet6036
6037 0.356691 0.900029 sommet6037
6038 0.790014 0.772992 sommet6038
6039 0.678146 0.605815 sommet6039
6040 0.929671 0.987927 sommet6040
6041 0.096352 0.395128 sommet6041
6042 0.923477 0.876500 sommet6042
6043 0.333523 0.522647 sommet6043
6044 0.121996 0.384041 sommet6044
6045 0.570393 0.599895 sommet6045
6046 0.432742 0.088827 sommet6046
6047 0.922285 0.839281 sommet6047
6048 0.789101 0.420262 sommet6048
6049 0.339893 0.580240 sommet6049
6050 0.101332 0.079615 sommet6050
6051 0.086186 0.523973 sommet6051
6052 0.410932 0.533952 sommet6052
6053 0.124422 0.152803 sommet6053
6054 0.165650 0.086428 sommet6054
6055 0.602051 0.674662 sommet6055
6056 0.043582 0.490013 sommet6056
6057 0.644434 0.009911 sommet6057
6058 0.577555 0.961205 sommet6058
6059 0.973555 0.536177 sommet6059
6060 0.534028 0.414012 sommet6060
6061 0.291845 0.032615 sommet6061
6062 0.161916 0.323596 sommet6062
6063 0.674589 0.820219 sommet6063
6064 0.423735 0.709706 sommet6064
6065 0.031840 0.132373 sommet6065
6066 0.793913 0.288461 sommet6066
6067 0.155690 0.674943 sommet6067
6068 0.763368 0.931606 sommet6068
6069 0.501248 0.475769 sommet6069
6070 0.253283 0.926030 sommet6070
6071 0.793898 0.050061 sommet6071
6072 0.383125 0.181223 sommet6072
6073 0.821700 0.308787 sommet6073
6074 0.785473 0.449715 sommet6074
6075 0.355142 0.878212 sommet6075
6076 0.113595 0.193279 sommet6076
6077 0.441015 0.145815 sommet6077
6078 0.720641 0.813922 sommet6078
6079 0.587884 0.568326 sommet6079
6080 0.860692 0.654075 sommet6080
6081 0.032198 0.153011 sommet6081
6082 0.657424 0.328297 sommet6082
6083 0.694575 0.724270 sommet6083
6084 0.810390 0.225789 sommet6084
6085 0.835182 0.897666 sommet6085
6086 0.065501 0.870194 sommet6086
6087 0.342937 0.747657 sommet6087
6088 0.878023 0.933984 sommet6088
6089 0.467628 0.422373 sommet6089
6090 0.815369 0.907865 sommet6090
6091 0.484252 0.818699 sommet6091
6092 0.878669 0.789189 sommet6092
6093 0.905934 0.026678 sommet6093
6094 0.382947 0.197224 sommet6094
6095 0.751526 0.889567 sommet6095
6096 0.956424 0.621270 sommet6096
6097 0.691375 0.942165 sommet6097
6098 0.968671 0.456144 sommet6098
6099 0.407116 0.391221 sommet6099
6100 0.243381 0.501583 sommet6100
6101 0.106443 0.983425 sommet6101
6102 0.419478 0.172661 sommet6102
6103 0.906250 0.350770 sommet6103
6104 0.383314 0.363386 sommet6104
6105 0.428670 0.654765 sommet6105
6106 0.635863 0.944610 sommet6106
6107 0.065507 0.983942 sommet6107
6108 0.113150 0.715410 sommet6108
6109 0.899040 0.173012 sommet6109
6110 0.820442 0.168825 sommet6110
6111 0.435164 0.801827 sommet6111
6112 0.310801 0.637894 sommet6112
6113 0.076221 0.039530 sommet6113
6114 0.376988 0.038082 sommet6114
6115 0.045557 0.682373 sommet6115
6116 0.636964 0.452635 sommet6116
6117 0.441504 0.362423 sommet6117
6118 0.245977 0.128692 sommet6118
6119 0.932686 0.645730 sommet6119
6120 0.789969 0.008943 sommet6120
6121 0.301579 0.636236 sommet6121
6122 0.210542 0.586375 sommet6122
6123 0.205787 0.664470 sommet6123
6124 0.755493 0.564880 sommet6124
6125 0.939557 0.132332 sommet6125
6126 0.098673 0.392126 sommet6126
6127 0.468103 0.407774 sommet6127
6128 0.451367 0.130207 sommet6128
6129 0.386856 0.886376 sommet6129
6130 0.315663 0.352005 sommet6130
6131 0.153849 0.735482 sommet6131
6132 0.238534 0.036929 sommet6132
6133 0.664274 0.451513 sommet6133
6134 0.572238 0.596739 sommet6134
6135 0.392639 0.081727 sommet6135
6136 0.582026 0.112922 sommet6136
6137 0.878900 0.680679 sommet6137
6138 0.177256 0.149823 sommet6138
6139 0.070743 0.985148 sommet6139
6140 0.389825 0.789998 sommet6140
6141 0.501863 0.814552 sommet6141
6142 0.170638 0.913151 sommet6142
6143 0.332522 0.693260 sommet6143
6144 0.628489 0.013090 sommet6144
6145 0.011112 0.767529 sommet6145
6146 0.860176 0.980618 sommet6146
6147 0.251555 0.888768 sommet6147
6148 0.528472 0.028944 sommet6148
6149 0.460715 0.234020 sommet6149
6150 0.170892 0.173467 sommet6150
6151 0.453649 0.472819 sommet6151
6152 0.662402 0.989845 sommet6152
6153 0.320027 0.692544 sommet6153
6154 0.584262 0.696321 sommet6154
6155 0.068232 0.778658 sommet6155
6156 0.908273 0.338962 sommet6156
6157 0.927369 0.288903 sommet6157
6158 0.589934 0.025287 sommet6158
6159 0.992105 0.315970 sommet6159
6160 0.501764 0.149985 sommet6160
6161 0.793091 0.483990 sommet6161
6162 0.411913 0.027837 sommet6162
6163 0.856026 0.234802 sommet6163
6164 0.311076 0.252861 sommet6164
6165 0.832217 0.074263 sommet6165
6166 0.141629 0.362200 sommet6166
6167 0.490000 0.434171 sommet6167
6168 0.115695 0.484969 sommet6168
6169 0.866761 0.648955 sommet6169
6170 0.978678 0.633369 sommet6170
6171 0.034528 0.314605 sommet6171
6172 0.573273 0.995102 sommet6172
6173 0.683344 0.959601 sommet6173
6174 0.005898 0.123448 sommet6174
6175 0.784312 0.932487 sommet6175
6176 0.312902 0.949039 sommet6176
6177 0.504907 0.977500 sommet6177
6178 0.839253 0.316881 sommet6178
6179 0.824739 0.381568 sommet6179
6180 0.007231 0.524528 sommet6180
6181 0.739189 0.555177 sommet6181
6182 0.863551 0.703693 sommet6182
6183 0.968689 0.759572 sommet6183
6184 0.127162 0.209562 sommet6184
6185 0.108996 0.887378 sommet6185
6186 0.154097 0.903195 sommet6186
6187 0.004551 0.494315 sommet6187
6188 0.949826 0.726314 sommet6188
6189 0.156059 0.889855 sommet6189
6190 0.789395 0.362356 sommet6190
6191 0.112358 0.406231 sommet6191
6192 0.524187 0.008722 sommet6192
6193 0.586699 0.646640 sommet6193
6194 0.077099 0.797456 sommet6194
6195 0.843343 0.059170 sommet6195
6196 0.463871 0.280642 sommet6196
6197 0.748970 0.932959 sommet6197
6198 0.235567 0.178128 sommet6198
6199 0.794987 0.340646 sommet6199
6200 0.244754 0.577038 sommet6200
6201 0.277911 0.849912 sommet6201
6202 0.476045 0.881860 sommet6202
6203 0.426241 0.826287 sommet6203
6204 0.407282 0.189468 sommet6204
6205 0.395691 0.384086 sommet6205
6206 0.333261 0.114256 sommet6206
6207 0.305917 0.551787 sommet6207
6208 0.875984 0.667009 sommet6208
6209 0.416022 0.079674 sommet6209
6210 0.077755 0.835579 sommet6210
6211 0.582833 0.671066 sommet6211
6212 0.602333 0.405874 sommet6212
6213 0.530346 0.530597 sommet6213
6214 0.739485 0.525806 sommet6214
6215 0.222792 0.466688 sommet6215
6216 0.629926 0.158027 sommet6216
6217 0.952868 0.856900 sommet6217
6218 0.915920 0.865578 sommet6218
6219 0.763316 0.058136 sommet6219
6220 0.094865 0.388180 sommet6220
6221 0.146659 0.905732 sommet6221
6222 0.634949 0.588624 sommet6222
6223 0.007534 0.626554 sommet6223
6224 0.486355 0.175927 sommet6224
6225 0.801852 0.731296 sommet6225
6226 0.900175 0.238971 sommet6226
6227 0.393818 0.895120 sommet6227
6228 0.277245 0.658697 sommet6228
6229 0.725881 0.874257 sommet6229
6230 0.632548 0.241124 sommet6230
6231 0.565262 0.352093 sommet6231
6232 0.619047 0.319413 sommet6232
6233 0.377718 0.304077 sommet6233
6234 0.617092 0.457663 sommet6234
6235 0.935973 0.896978 sommet6235
6236 0.510665 0.742855 sommet6236
6237 0.156459 0.610186 sommet6237
6238 0.394242 0.029207 sommet6238
6239 0.890338 0.912118 sommet6239
6240 0.960385 0.185684 sommet6240
6241 0.784050 0.525811 sommet6241
6242 0.303599 0.594351 sommet6242
6243 0.254877 0.720639 sommet6243
6244 0.774595 0.610499 sommet6244
6245 0.651582 0.143779 sommet6245
6246 0.498707 0.762287 sommet6246
6247 0.753815 0.362222 sommet6247
6248 0.863858 0.862773 sommet6248
6249 0.626331 0.743120 sommet6249
6250 0.624925 0.110326 sommet6250
6251 0.252949 0.322029 sommet6251
6252 0.344539 0.659552 sommet6252
6253 0.084012 0.995780 sommet6253
6254 0.066962 0.434748 sommet6254
6255 0.814742 0.371983 sommet6255
6256 0.919240 0.667144 sommet6256
6257 0.695123 0.935883 sommet6257
6258 0.392421 0.423197 sommet6258
6259 0.664505 0.337798 sommet6259
6260 0.370931 0.242344 sommet6260
6261 0.078097 0.579438 sommet6261
6262 0.612467 0.728683 sommet6262
6263 0.979303 0.141851 sommet6263
6264 0.085744 0.091927 sommet6264
6265 0.022707 0.630310 sommet6265
6266 0.620745 0.859881 sommet6266
6267 0.018966 0.766157 sommet6267
6268 0.805078 0.938937 sommet6268
6269 0.714511 0.781195 sommet6269
6270 0.546857 0.021797 sommet6270
6271 0.348244 0.937181 sommet6271
6272 0.194761 0.342668 sommet6272
6273 0.213231 0.777404 sommet6273
6274 0.833621 0.671494 sommet6274
6275 0.805895 0.679913 sommet6275
6276 0.292212 0.202322 sommet6276
6277 0.425678 0.378005 sommet6277
6278 0.122537 0.487118 sommet6278
6279 0.986378 0.062694 sommet6279
6280 0.702036 0.112911 sommet6280
6281 0.701719 0.796694 sommet6281
6282 0.028367 0.769486 sommet6282
6283 0.753256 0.968129 sommet6283
6284 0.346759 0.971673 sommet6284
6285 0.910531 0.302081 sommet6285
6286 0.067106 0.845904 sommet6286
6287 0.108051 0.015250 sommet6287
6288 0.310533 0.130414 sommet6288
6289 0.860206 0.488291 sommet6289
6290 0.713259 0.739203 sommet6290
6291 0.786579 0.041333 sommet6291
6292 0.686254 0.877140 sommet6292
6293 0.088481 0.093424 sommet6293
6294 0.177730 0.102079 sommet6294
6295 0.644209 0.218951 sommet6295
6296 0.909121 0.588424 sommet6296
6297 0.646703 0.143418 sommet6297
6298 0.426477 0.801676 sommet6298
6299 0.763694 0.401667 sommet6299
6300 0.812902 0.436795 sommet6300
6301 0.214038 0.332973 sommet6301
6302 0.281121 0.802538 sommet6302
6303 0.263092 0.780266 sommet6303
6304 0.923381 0.265301 sommet6304
6305 0.912154 0.566177 sommet6305
6306 0.736637 0.658409 sommet6306
6307 0.880622 0.618844 sommet6307
6308 0.911209 0.696351 sommet6308
6309 0.565183 0.033592 sommet6309
6310 0.579416 0.246388 sommet6310
6311 0.048643 0.540357 sommet6311
6312 0.781930 0.898214 sommet6312
6313 0.275987 0.510783 sommet6313
6314 0.733179 0.531362 sommet6314
6315 0.599673 0.709292 sommet6315
6316 0.065354 0.401013 sommet6316
6317 0.828467 0.046531 sommet6317
6318 0.054652 0.534417 sommet6318
6319 0.939137 0.081180 sommet6319
6320 0.391521 0.288305 sommet6320
6321 0.549047 0.830762 sommet6321
6322 0.610363 0.377318 sommet6322
6323 0.577923 0.148130 sommet6323
6324 0.620451 0.922295 sommet6324
6325 0.012267 0.168832 sommet6325
6326 0.564698 0.883759 sommet6326
6327 0.334489 0.756227 sommet6327
6328 0.906767 0.033023 sommet6328
6329 0.012431 0.928011 sommet6329
6330 0.080370 0.784493 sommet6330
6331 0.979848 0.313009 sommet6331
6332 0.748948 0.565424 sommet6332
6333 0.089498 0.196592 sommet6333
6334 0.126141 0.058410 sommet6334
6335 0.702405 0.314816 sommet6335
6336 0.111942 0.411398 sommet6336
6337 0.362958 0.240799 sommet6337
6338 0.113992 0.862668 sommet6338
6339 0.866400 0.577625 sommet6339
6340 0.144912 0.537860 sommet6340
6341 0.818738 0.531881 sommet6341
6342 0.327601 0.992940 sommet6342
6343 0.342639 0.734884 sommet6343
6344 0.187793 0.236329 sommet6344
6345 0.975431 0.072345 sommet6345
6346 0.894444 0.925269 sommet6346
6347 0.990827 0.829354 sommet6347
6348 0.948205 0.475561 sommet6348
6349 0.758457 0.384424 sommet6349
6350 0.015299 0.126902 sommet6350
6351 0.837095 0.051365 sommet6351
6352 0.283552 0.663793 sommet6352
6353 0.371929 0.010497 sommet6353
6354 0.419950 0.094347 sommet6354
6355 0.693115 0.190184 sommet6355
6356 0.415194 0.172983 sommet6356
6357 0.318928 0.227360 sommet6357
6358 0.246118 0.501374 sommet6358
6359 0.586228 0.733234 sommet6359
6360 0.457214 0.388473 sommet6360
6361 0.063302 0.917310 sommet6361
6362 0.232432 0.481251 sommet6362
6363 0.377585 0.071793 sommet6363
6364 0.619931 0.174034 sommet6364
6365 0.993445 0.828920 sommet6365
6366 0.657785 0.395150 sommet6366
6367 0.288726 0.613535 sommet6367
6368 0.678305 0.265653 sommet6368
6369 0.836199 0.990307 sommet6369
6370 0.095587 0.537366 sommet6370
6371 0.516706 0.271588 sommet6371
6372 0.580739 0.481949 sommet6372
6373 0.110839 0.866088 sommet6373
6374 0.340939 0.158563 sommet6374
6375 0.971937 0.346267 sommet6375
6376 0.711191 0.984356 sommet6376
6377 0.063874 0.529665 sommet6377
6378 0.075367 0.693576 sommet6378
6379 0.928264 0.325550 sommet6379
6380 0.511538 0.418713 sommet6380
6381 0.317567 0.353865 sommet6381
6382 0.407273 0.030225 sommet6382
6383 0.996316 0.082595 sommet6383
6384 0.179027 0.899277 sommet6384
6385 0.143353 0.334980 sommet6385
6386 0.015590 0.023039 sommet6386
6387 0.219668 0.962903 sommet6387
6388 0.512833 0.183682 sommet6388
6389 0.144100 0.887178 sommet6389
6390 0.792499 0.529357 sommet6390
6391 0.895351 0.172351 sommet6391
6392 0.700478 0.938684 sommet6392
6393 0.458414 0.558936 sommet6393
6394 0.038567 0.200305 sommet6394
6395 0.533031 0.647268 sommet6395
6396 0.626794 0.526664 sommet6396
6397 0.638291 0.760198 sommet6397
6398 0.651351 0.257118 sommet6398
6399 0.386199 0.847626 sommet6399
6400 0.053150 0.291683 sommet6400
6401 0.323377 0.988870 sommet6401
6402 0.940422 0.675721 sommet6402
6403 0.851179 0.760122 sommet6403
6404 0.369000 0.790531 sommet6404
6405 0.454157 0.023511 sommet6405
6406 0.141300 0.829004 sommet6406
6407 0.063010 0.005011 sommet6407
6408 0.224326 0.244722 sommet6408
6409 0.035782 0.387559 sommet6409
6410 0.697040 0.150221 sommet6410
6411 0.765255 0.646833 sommet6411
6412 0.314719 0.481193 sommet6412
6413 0.408634 0.904394 sommet6413
6414 0.147411 0.535801 sommet6414
6415 0.212850 0.367897 sommet6415
6416 0.252030 0.870014 sommet6416
6417 0.317905 0.024860 sommet6417
6418 0.820099 0.402293 sommet6418
6419 0.340558 0.755591 sommet6419
6420 0.224399 0.475230 sommet6420
6421 0.196061 0.189946 sommet6421
6422 0.422682 0.011890 sommet6422
6423 0.842285 0.283661 sommet6423
6424 0.498693 0.537897 sommet6424
6425 0.433891 0.402029 sommet6425
6426 0.905926 0.893309 sommet6426
6427 0.847500 0.926929 sommet6427
6428 0.894627 0.003074 sommet6428
6429 0.672930 0.933965 sommet6429
6430 0.157735 0.052113 sommet6430
6431 0.867031 0.197241 sommet6431
6432 0.032719 0.910757 sommet6432
6433 0.100045 0.461860 sommet6433
6434 0.485448 0.926771 sommet6434
6435 0.234687 0.386556 sommet6435
6436 0.847681 0.972279 sommet6436
6437 0.089523 0.612415 sommet6437
6438 0.860363 0.124784 sommet6438
6439 0.242564 0.770907 sommet6439
6440 0.632471 0.938902 sommet6440
6441 0.124230 0.938138 sommet6441
6442 0.282246 0.711547 sommet6442
6443 0.977664 0.597429 sommet6443
6444 0.995717 0.007992 sommet6444
6445 0.319710 0.369807 sommet6445
6446 0.339933 0.249880 sommet6446
6447 0.737561 0.182192 sommet6447
6448 0.108773 0.154340 sommet6448
6449 0.996833 0.765404 sommet6449
6450 0.147326 0.111880 sommet6450
6451 0.359213 0.291183 sommet6451
6452 0.905678 0.731606 sommet6452
6453 0.102503 0.774430 sommet6453
6454 0.852377 0.893512 sommet6454
6455 0.249763 0.771115 sommet6455
6456 0.129081 0.471124 sommet6456
6457 0.180843 0.433528 sommet6457
6458 0.299207 0.764101 sommet6458
6459 0.241984 0.023579 sommet6459
6460 0.288841 0.557190 sommet6460
6461 0.693377 0.580605 sommet6461
6462 0.220511 0.135417 sommet6462
6463 0.952634 0.926669 sommet6463
6464 0.532546 0.496088 sommet6464
6465 0.757367 0.072387 sommet6465
6466 0.608593 0.616899 sommet6466
6467 0.220872 0.195242 sommet6467
6468 0.425851 0.282355 sommet6468
6469 0.532642 0.110974 sommet6469
6470 0.133035 0.918963 sommet6470
6471 0.018164 0.275899 sommet6471
6472 0.040420 0.334307 sommet6472
6473 0.692665 0.623438 sommet6473
6474 0.130097 0.546141 sommet6474
6475 0.987831 0.477515 sommet6475
6476 0.592878 0.496213 sommet6476
6477 0.848612 0.627068 sommet6477
6478 0.128710 0.225400 sommet6478
6479 0.290545 0.184624 sommet6479
6480 0.982527 0.329025 sommet6480
6481 0.928763 0.726233 sommet6481
6482 0.805651 0.570662 sommet6482
6483 0.113472 0.116693 sommet6483
6484 0.256612 0.874467 sommet6484
6485 0.163838 0.617285 sommet6485
6486 0.709057 0.126217 sommet6486
6487 0.327636 0.580121 sommet6487
6488 0.096732 0.779787 sommet6488
6489 0.872591 0.631083 sommet6489
6490 0.607345 0.641721 sommet6490
6491 0.398692 0.817413 sommet6491
6492 0.260038 0.456219 sommet6492
6493 0.680935 0.481619 sommet6493
6494 0.565621 0.397055 sommet6494
6495 0.302004 0.780591 sommet6495
6496 0.401213 0.193978 sommet6496
6497 0.189264 0.966513 sommet6497
6498 0.181447 0.572104 sommet6498
6499 0.348403 0.611474 sommet6499
6500 0.051583 0.948078 sommet6500
6501 0.339260 0.940730 sommet6501
6502 0.844467 0.957989 sommet6502
6503 0.916243 0.299676 sommet6503
6504 0.658833 0.012707 sommet6504
6505 0.558263 0.729667 sommet6505
6506 0.516421 0.488197 sommet6506
6507 0.131542 0.820682 sommet6507
6508 0.195359 0.391021 sommet6508
6509 0.894806 0.006624 sommet6509
6510 0.324499 0.855280 sommet6510
6511 0.694814 0.733117 sommet6511
6512 0.490846 0.650740 sommet6512
6513 0.981706 0.530315 sommet6513
6514 0.996799 0.204645 sommet6514
6515 0.464806 0.990544 sommet6515
6516 0.077261 0.518622 sommet6516
6517 0.479978 0.984854 sommet6517
6518 0.445540 0.186952 sommet6518
6519 0.106382 0.969659 sommet6519
6520 0.066705 0.104066 sommet6520
6521 0.037362 0.944973 sommet6521
6522 0.161991 0.580159 sommet6522
6523 0.724164 0.032724 sommet6523
6524 0.995666 0.153509 sommet6524
6525 0.024001 0.380729 sommet6525
6526 0.918529 0.722900 sommet6526
6527 0.773597 0.850994 sommet6527
6528 0.658986 0.572751 sommet6528
6529 0.226454 0.008584 sommet6529
6530 0.267824 0.315391 sommet6530
6531 0.776186 0.349868 sommet6531
6532 0.238570 0.641852 sommet6532
6533 0.614533 0.453681 sommet6533
6534 0.016884 0.774820 sommet6534
6535 0.405028 0.301248 sommet6535
6536 0.072587 0.970018 sommet6536
6537 0.096906 0.706755 sommet6537
6538 0.426903 0.954320 sommet6538
6539 0.252882 0.195306 sommet6539
6540 0.506869 0.939342 sommet6540
6541 0.517770 0.160446 sommet6541
6542 0.607703 0.656575 sommet6542
6543 0.055778 0.464917 sommet6543
6544 0.856476 0.790559 sommet6544
6545 0.917118 0.009830 sommet6545
6546 0.218529 0.818907 sommet6546
6547 0.376172 0.316719 sommet6547
6548 0.101553 0.808183 sommet6548
6549 0.135373 0.211125 sommet6549
6550 0.378932 0.706294 sommet6550
6551 0.689339 0.725459 sommet6551
6552 0.784278 0.366429 sommet6552
6553 0.579299 0.282901 sommet6553
6554 0.716816 0.521519 sommet6554
6555 0.178183 0.720924 sommet6555
6556 0.576362 0.910423 sommet6556
6557 0.474146 0.969769 sommet6557
6558 0.911247 0.324589 sommet6558
6559 0.366513 0.984015 sommet6559
6560 0.342806 0.538070 sommet6560
6561 0.340448 0.905790 sommet6561
6562 0.610482 0.379303 sommet6562
6563 0.944130 0.989547 sommet6563
6564 0.324197 0.781625 sommet6564
6565 0.772130 0.181660 sommet6565
6566 0.159273 0.904372 sommet6566
6567 0.777271 0.587649 sommet6567
6568 0.614742 0.968558 sommet6568
6569 0.558304 0.414255 sommet6569
6570 0.389825 0.796940 sommet6570
6571 0.175881 0.036472 sommet6571
6572 0.993305 0.477691 sommet6572
6573 0.549320 0.421835 sommet6573
6574 0.781493 0.549002 sommet6574
6575 0.083711 0.933872 sommet6575
6576 0.582498 0.046880 sommet6576
6577 0.917017 0.309239 sommet6577
6578 0.372543 0.338448 sommet6578
6579 0.289006 0.323702 sommet6579
6580 0.459956 0.483526 sommet6580
6581 0.621045 0.895101 sommet6581
6582 0.959573 0.539877 sommet6582
6583 0.705853 0.265402 sommet6583
6584 0.610382 0.687751 sommet6584
6585 0.024289 0.233235 sommet6585
6586 0.977934 0.134767 sommet6586
6587 0.028393 0.193534 sommet6587
6588 0.733693 0.175696 sommet6588
6589 0.928206 0.366131 sommet6589
6590 0.557165 0.273476 sommet6590
6591 0.315195 0.483765 sommet6591
6592 0.638539 0.924813 sommet6592
6593 0.328405 0.494797 sommet6593
6594 0.046299 0.146601 sommet6594
6595 0.929134 0.955131 sommet6595
6596 0.889705 0.268122 sommet6596
6597 0.332368 0.102208 sommet6597
6598 0.807582 0.025887 sommet6598
6599 0.087887 0.116541 sommet6599
6600 0.699236 0.060662 sommet6600
6601 0.546336 0.265577 sommet6601
6602 0.555492 0.146656 sommet6602
6603 0.840663 0.029778 sommet6603
6604 0.485976 0.790337 sommet6604
6605 0.199742 0.059680 sommet6605
6606 0.046988 0.720596 sommet6606
6607 0.060978 0.863438 sommet6607
6608 0.802699 0.966100 sommet6608
6609 0.249232 0.844718 sommet6609
6610 0.178664 0.798473 sommet6610
6611 0.938277 0.629828 sommet6611
6612 0.523403 0.838899 sommet6612
6613 0.373701 0.790716 sommet6613
6614 0.567604 0.728701 sommet6614
6615 0.272549 0.731235 sommet6615
6616 0.861561 0.253720 sommet6616
6617 0.278325 0.812063 sommet6617
6618 0.335470 0.241957 sommet6618
6619 0.575997 0.774275 sommet6619
6620 0.244419 0.950982 sommet6620
6621 0.155064 0.163605 sommet6621
6622 0.700860 0.358341 sommet6622
6623 0.644516 0.380520 sommet6623
6624 0.395779 0.854465 sommet6624
6625 0.995208 0.464164 sommet6625
6626 0.199452 0.196515 sommet6626
6627 0.833116 0.174280 sommet6627
6628 0.124704 0.891920 sommet6628
6629 0.505580 0.288388 sommet6629
6630 0.933735 0.285467 sommet6630
6631 0.837598 0.510558 sommet6631
6632 0.954169 0.721130 sommet6632
6633 0.036220 0.741192 sommet6633
6634 0.208166 0.644140 sommet6634
6635 0.053260 0.144803 sommet6635
6636 0.709315 0.461454 sommet6636
6637 0.660009 0.769429 sommet6637
6638 0.788358 0.937305 sommet6638
6639 0.277796 0.914209 sommet6639
6640 0.103365 0.261916 sommet6640
6641 0.030462 0.972691 sommet6641
6642 0.012768 0.597495 sommet6642
6643 0.106404 0.324734 sommet6643
6644 0.804615 0.161929 sommet6644
6645 0.535197 0.061767 sommet6645
6646 0.121315 0.947352 sommet6646
6647 0.137504 0.031361 sommet6647
6648 0.077662 0.259263 sommet6648
6649 0.425385 0.447517 sommet6649
6650 0.420612 0.223820 sommet6650
6651 0.741669 0.227400 sommet6651
6652 0.917996 0.757410 sommet6652
6653 0.791928 0.929759 sommet6653
6654 0.459011 0.596701 sommet6654
6655 0.749515 0.095524 sommet6655
6656 0.470280 0.996981 sommet6656
6657 0.263933 0.928502 sommet6657
6658 0.332964 0.120579 sommet6658
6659 0.567890 0.531117 sommet6659
6660 0.490109 0.269040 sommet6660
6661 0.755512 0.885941 sommet6661
6662 0.014240 0.329464 sommet6662
6663 0.303035 0.102507 sommet6663
6664 0.830804 0.319065 sommet6664
6665 0.518647 0.906664 sommet6665
6666 0.293526 0.292101 sommet6666
6667 0.333495 0.043399 sommet6667
6668 0.405539 0.892136 sommet6668
6669 0.129565 0.598112 sommet6669
6670 0.466967 0.311754 sommet6670
6671 0.641347 0.123869 sommet6671
6672 0.869618 0.670547 sommet6672
6673 0.878349 0.417271 sommet6673
6674 0.078143 0.356393 sommet6674
6675 0.894847 0.691439 sommet6675
6676 0.012499 0.076578 sommet6676
6677 0.040007 0.399157 sommet6677
6678 0.638609 0.101703 sommet6678
6679 0.323297 0.645122 sommet6679
6680 0.559887 0.019927 sommet6680
